Unique_tree_ID,Letter_code,DBH,Notes,Plot,Common_name,Scientific_name,GlobalID,UID,BioM,Carbon_Stored,Carbon_Sequestered,RASTERVALU,DEM_SteepestPts,DEM_MidPts,DEM_FlatPts,DEM_POINTS
A24,PITA,40.700000000000003,67.7,AA,Loblolly Pine,Pinus taeda,d8f86c74-06fb-47d0-a1be-e36e15be0ebf,24,657.664407551654449,328.832203775827224,1206.814187857285788,13.3776293,0.000000000000000,0.000000000000000,13.377629280090332,Flat
A25,LIST,38.600000000000001,74.8,AA,Sweetgum,Liquidambar styraciflua,8cea04bc-cecb-4fdc-9ca9-6bf064531627,25,729.859484490553086,364.929742245276543,1339.292154040164860,13.3776293,0.000000000000000,0.000000000000000,13.377629280090332,Flat
A26,ILOP,16.800000000000001,67.4,AA,American Holly,Ilex opaca,bf9b51cb-f7f1-47c9-9303-213a40caf28d,26,92.470942903618351,46.235471451809175,169.684180228139667,13.1720486,0.000000000000000,13.172048568725586,0.000000000000000,Mid
A27,PITA,50.299999999999997,67.3,AA,Loblolly Pine,Pinus taeda,4608516e-3feb-4646-bcd3-d62edc1afda8,27,1101.414522513222437,550.707261256611218,2021.095648811763112,13.3226395,0.000000000000000,0.000000000000000,13.322639465332031,Flat
A28,ULAL,11.300000000000001,72.7,AA,Winged Elm,Ulmus alata,953c2be1-0865-4cac-a592-33e39ebecd15,28,34.535838063431321,17.267919031715660,63.373262846396472,13.3226395,0.000000000000000,0.000000000000000,13.322639465332031,Flat
A29,ULAL,11.400000000000000,67.2,AA,Winged Elm,Ulmus alata,7f5ebd08-c6d7-4e99-8e1d-88405690f07e,29,35.299851888491844,17.649925944245922,64.775228215382526,13.3226395,0.000000000000000,0.000000000000000,13.322639465332031,Flat
A30,PITA,54.799999999999997,69.8,AA,Loblolly Pine,Pinus taeda,4e834534-0eaf-4f47-9963-2fa3b09ab858,30,1356.937027737068547,678.468513868534274,2489.979445897520691,13.3226395,0.000000000000000,0.000000000000000,13.322639465332031,Flat
A31,LIST,43.299999999999997,69.6,AA,Sweetgum,Liquidambar styraciflua,54cb0ac1-6670-42d3-9bcd-6092660106d5,31,970.884070251432377,485.442035125716188,1781.572268911378387,13.3776293,0.000000000000000,0.000000000000000,13.377629280090332,Flat
A32,ULAL,11.400000000000000, ,AA,Winged Elm,Ulmus alata,4fd3df83-8a76-4863-8b1a-aeb30b7af362,32,35.299851888491844,17.649925944245922,64.775228215382526,13.3776293,0.000000000000000,0.000000000000000,13.377629280090332,Flat
A33,ULAL,17.199999999999999, ,AA,Winged Elm,Ulmus alata,a8e660b6-df63-417e-9498-f74b8e311ab1,33,98.035774180365109,49.017887090182555,179.895645620969987,13.3776293,0.000000000000000,0.000000000000000,13.377629280090332,Flat
A34,ILOP,14.500000000000000, ,AA,American Holly,Ilex opaca,6b8865e9-8b9e-4e1c-ad6f-7aeb38545f98,34,64.151544737071561,32.075772368535780,117.718084592526310,13.6389351,0.000000000000000,0.000000000000000,13.638935089111328,Flat
A35,LIST,16.500000000000000, ,AA,Sweetgum,Liquidambar styraciflua,318268eb-1897-458a-8715-8b2745c7d4c0,35,88.424183919699445,44.212091959849722,162.258377492648492,13.4674702,0.000000000000000,0.000000000000000,13.467470169067383,Flat
A36,ILOP,20.100000000000001, ,AA,American Holly,Ilex opaca,c52aa475-2b57-4dea-b5c5-5b52b5d505c5,36,144.356749185016668,72.178374592508334,264.894634754505603,13.6884308,0.000000000000000,0.000000000000000,13.688430786132812,Flat
A37,ULAL,14.600000000000000, ,AA,Winged Elm,Ulmus alata,21846f33-1f1e-4dc1-bb2f-56965ebb9879,37,65.255932823136845,32.627966411568423,119.744636730456108,13.6389351,0.000000000000000,0.000000000000000,13.638935089111328,Flat
A38,ILOP,16.600000000000001, ,AA,American Holly,Ilex opaca,b43f013f-107c-4c2c-be8a-47dfe03e036b,38,89.761090784363589,44.880545392181794,164.711601589307179,13.5361938,0.000000000000000,0.000000000000000,13.536193847656250,Flat
A39,PITA,48.200000000000003, ,AA,Loblolly Pine,Pinus taeda,07e3c01b-045a-4eb1-9dcb-81df4179d5e2,39,992.782573018502035,496.391286509251017,1821.756021488951092,13.5361938,0.000000000000000,0.000000000000000,13.536193847656250,Flat
A40,LIST,30.500000000000000, ,AA,Sweetgum,Liquidambar styraciflua,fe8c0be5-878b-464c-91ba-6935eeb410e0,40,406.638351328285069,203.319175664142534,746.181374687403036,13.3776293,0.000000000000000,0.000000000000000,13.377629280090332,Flat
A41,LIST,37.299999999999997, ,AA,Sweetgum,Liquidambar styraciflua,da2ba422-224d-4cd0-9c59-622aed4ab10a,41,670.329864789723501,335.164932394861751,1230.055301889142584,13.5361938,0.000000000000000,0.000000000000000,13.536193847656250,Flat
A42,QUCO,29.000000000000000,Either scarlet or black or chestnut,AA,Scarlet Oak,Quercus coccinea,aa7edd42-a3c2-4a02-be85-1684cc86c6dc,42,484.913977561185789,242.456988780592894,889.817148824775927,13.5361938,0.000000000000000,0.000000000000000,13.536193847656250,Flat
A43,ILOP,14.000000000000000, ,AA,American Holly,Ilex opaca,5f82e0bc-4cd8-493d-ab06-4b887c91c01c,43,58.797473018162101,29.398736509081051,107.893362988327453,13.6884308,0.000000000000000,0.000000000000000,13.688430786132812,Flat
A44,ULAL,12.600000000000000, ,AA,Winged Elm,Ulmus alata,9b69666b-6dbc-4f11-85a8-24a37e943144,44,45.260561103370186,22.630280551685093,83.053129624684289,13.6884308,0.000000000000000,0.000000000000000,13.688430786132812,Flat
A45,JUVI,25.100000000000001, ,AA,Eastern Redcedar,Juniperus virginiana,72ca1b2c-7a7c-4d31-aa3d-f3e43ee0fba4,45,190.091025305705074,95.045512652852537,348.817031435968829,13.6884308,0.000000000000000,0.000000000000000,13.688430786132812,Flat
A46,LIST,23.699999999999999,Might be black gum,AA,Sweetgum,Liquidambar styraciflua,31edf4b3-a7e4-46b0-be89-38fb761d669b,46,217.338768647130621,108.669384323565311,398.816640467484660,13.6389351,0.000000000000000,0.000000000000000,13.638935089111328,Flat
A47,ILOP,19.000000000000000, ,AA,American Holly,Ilex opaca,e31059c5-82b2-4b53-acf1-f3ef422140af,47,125.526162723261081,62.763081361630540,230.340508597184083,13.5361938,0.000000000000000,0.000000000000000,13.536193847656250,Flat
A48,SNAG,37.000000000000000, ,AA,Snag,Snag,60566f52-b0c7-4ac4-993e-e8b8aa436092,48,0.000000000000000,0.000000000000000,0.000000000000000,13.4894762,0.000000000000000,0.000000000000000,13.489476203918457,Flat
A49,ULAL,22.500000000000000, ,AA,Winged Elm,Ulmus alata,6d97d532-01a2-4187-955f-4161a3398604,49,191.027093815550870,95.513546907775435,350.534717151535858,13.4894762,0.000000000000000,0.000000000000000,13.489476203918457,Flat
A50,ULAL,14.300000000000001, ,AA,Winged Elm,Ulmus alata,b7174366-1723-469d-866f-7a3f67c5dce6,50,61.976455368483805,30.988227684241902,113.726795601167780,13.3226395,0.000000000000000,0.000000000000000,13.322639465332031,Flat
A51,ULAL,54.399999999999999, ,AA,Winged Elm,Ulmus alata,6e32ea10-d2c3-4850-ac43-b08f0e44c3e7,51,1711.234597986552217,855.617298993276108,3140.115487305323313,13.3226395,0.000000000000000,0.000000000000000,13.322639465332031,Flat
A52,LIST,30.500000000000000, ,AA,Sweetgum,Liquidambar styraciflua,2f7a203c-f3ac-4497-b338-be70ff82e32f,52,406.638351328285069,203.319175664142534,746.181374687403036,13.2593937,0.000000000000000,13.259393692016602,0.000000000000000,Mid
A53,ULAL,13.800000000000001, ,AA,Winged Elm,Ulmus alata,5050ba41-1e56-4819-a6be-47cfa6cbc03d,53,56.733476367667045,28.366738183833522,104.105929134669026,13.2593937,0.000000000000000,13.259393692016602,0.000000000000000,Mid
A54,CEOC,12.500000000000000, ,AA,Hackberry,Celtis occidentalis,b520181e-cb69-4269-9f06-b225031a6afc,54,44.373706059129319,22.186853029564659,81.425750618502292,13.5221195,0.000000000000000,0.000000000000000,13.522119522094727,Flat
A55,ILOP,10.500000000000000, ,AA,American Holly,Ilex opaca,71e54c1c-b600-4149-9d3e-5de53d2c3538,55,28.778841619859307,14.389420809929653,52.809174372441824,13.5221195,0.000000000000000,0.000000000000000,13.522119522094727,Flat
A56,ULAL,18.800000000000001, ,AA,Winged Elm,Ulmus alata,8ce03ff4-3eef-42d6-9ec4-c9490cc4685a,56,122.270222786091722,61.135111393045861,224.365858812478308,13.4894762,0.000000000000000,0.000000000000000,13.489476203918457,Flat
A57,PITA,65.000000000000000, ,AA,Loblolly Pine,Pinus taeda,cd4e2a86-233e-4876-928d-678e63f5783c,57,2056.201368114237084,1028.100684057118542,3773.129510489624863,13.5125999,0.000000000000000,0.000000000000000,13.512599945068359,Flat
A58,ILOP,11.500000000000000, ,AA,American Holly,Ilex opaca,4a8e1970-2791-45e2-a5ee-53ca3014d41f,58,36.073872950893289,18.036936475446645,66.195556864889184,13.5221195,0.000000000000000,0.000000000000000,13.522119522094727,Flat
A59,QUPA,40.799999999999997, ,AA,Cherrybark Oak,Quercus pagoda,5b7c13ef-8697-4654-a877-799ac565f8b2,59,1113.177617019976196,556.588808509988098,2042.680927231656369,13.5221195,0.000000000000000,0.000000000000000,13.522119522094727,Flat
A60,ULRU,34.000000000000000, ,AA,Slippery Elm,Ulmus rubra,ecfcf977-2aca-494a-9c61-112fc8301060,60,532.571075015517977,266.285537507758988,977.267922653475466,13.5125999,0.000000000000000,0.000000000000000,13.512599945068359,Flat
A61,LIST,66.799999999999997,Split trunk 34.4 + 34.4,AA,Sweetgum,Liquidambar styraciflua,6f17c56c-49ac-4ed7-99bb-534465a0ef28,61,2849.587712528923475,1424.793856264461738,5228.993452490574782,13.5125999,0.000000000000000,0.000000000000000,13.512599945068359,Flat
A62,ULRU,14.500000000000000, ,AA,Slippery Elm,Ulmus rubra,f20b45c9-36bf-4038-bf64-096ccf73e833,62,64.151544737071561,32.075772368535780,117.718084592526310,13.5221195,0.000000000000000,0.000000000000000,13.522119522094727,Flat
A64,ILOP,16.600000000000001,Split trunk 9.2 + 7.4,AA,American Holly,Ilex opaca,6ae0806a-d4c4-4c73-b39c-8b2a5f9a1119,64,89.761090784363589,44.880545392181794,164.711601589307179,13.5221195,0.000000000000000,0.000000000000000,13.522119522094727,Flat
A65,ULAL,15.000000000000000, ,AA,Winged Elm,Ulmus alata,d68330f0-d37c-46d8-8443-08f888988f63,65,69.786646071476923,34.893323035738462,128.058495541160141,13.5221195,0.000000000000000,0.000000000000000,13.522119522094727,Flat
A66,SNAG,37.200000000000003, ,AA,Snag,Snag,b02ff843-fea9-45e1-ae24-1cfa0f5c0bf9,66,0.000000000000000,0.000000000000000,0.000000000000000,13.5931673,0.000000000000000,0.000000000000000,13.593167304992676,Flat
A67,ILOP,14.600000000000000, ,AA,American Holly,Ilex opaca,25500655-f8ad-4094-ba7a-325945fe8a56,67,65.255932823136845,32.627966411568423,119.744636730456108,13.5931673,0.000000000000000,0.000000000000000,13.593167304992676,Flat
A68,ULAL,20.800000000000001, ,AA,Winged Elm,Ulmus alata,66ba508d-de83-4ecd-87ee-020ad68a66f4,68,157.166498354161519,78.583249177080759,288.400524479886371,13.5931673,0.000000000000000,0.000000000000000,13.593167304992676,Flat
A69,ACRU,12.500000000000000, ,AA,Red Maple,Acer rubrum,365b6176-efa6-483c-bc68-86409d515c71,69,58.049774099419196,29.024887049709598,106.521335472434217,13.5931673,0.000000000000000,0.000000000000000,13.593167304992676,Flat
A70,ACRU,10.400000000000000, ,AA,Red Maple,Acer rubrum,7a687d18-eb3d-4428-911e-e8e085c4568a,70,37.573721587984330,18.786860793992165,68.947779113951242,13.5931673,0.000000000000000,0.000000000000000,13.593167304992676,Flat
A71,ULAL,11.600000000000000, ,AA,Winged Elm,Ulmus alata,2ab60a81-6f30-4d0f-bb39-472652239079,71,36.857943598166010,18.428971799083005,67.634326502634622,13.5361938,0.000000000000000,0.000000000000000,13.536193847656250,Flat
A72,LIST,16.399999999999999, ,AA,Sweetgum,Liquidambar styraciflua,e1908d35-3725-4eda-8fa4-6494ce65e4a6,72,87.099243208130716,43.549621604065358,159.827111286919859,13.5361938,0.000000000000000,0.000000000000000,13.536193847656250,Flat
A73,LIST,19.500000000000000, ,AA,Sweetgum,Liquidambar styraciflua,94693a01-70ea-46cd-84da-4d1a8230e85e,73,133.890770931877427,66.945385465938713,245.689564659995085,13.7537394,0.000000000000000,0.000000000000000,13.753739356994629,Flat
A74,PITA,61.000000000000000, ,AA,Loblolly Pine,Pinus taeda,31b15cd6-c4eb-4ba1-83a7-36d998ae57dd,74,1761.580632912549845,880.790316456274923,3232.500461394528884,13.7537394,0.000000000000000,0.000000000000000,13.753739356994629,Flat
A75,PITA,61.000000000000000, ,AA,Loblolly Pine,Pinus taeda,6d0fcbfc-1b0f-4fba-96b7-b894c29ea8cf,75,1761.580632912549845,880.790316456274923,3232.500461394528884,13.7537394,0.000000000000000,0.000000000000000,13.753739356994629,Flat
A76,ULAL,18.000000000000000, ,AA,Winged Elm,Ulmus alata,fa53c1c6-4793-4cc9-bc19-54eedaf2ba35,76,109.753644724105897,54.876822362052948,201.397938068734305,13.7537394,0.000000000000000,0.000000000000000,13.753739356994629,Flat
A77,PIVI,41.399999999999999, ,AA,Virginia Pine,Pinus virginiana,125afcd5-b5ed-4179-b0a3-b5efa343e8a5,77,685.546696296846790,342.773348148423395,1257.978187704713946,13.7537394,0.000000000000000,0.000000000000000,13.753739356994629,Flat
A78,ULAL,17.300000000000001, ,AA,Winged Elm,Ulmus alata,950bbfe7-1a52-42d7-932a-956866179893,78,99.457418369971663,49.728709184985831,182.504362708897986,13.7537394,0.000000000000000,0.000000000000000,13.753739356994629,Flat
A79,ILOP,10.300000000000001, ,AA,American Holly,Ilex opaca,e40aedc5-8809-4721-a9d2-74ac57924585,79,27.436640478412233,13.718320239206117,50.346235277886450,13.7679529,0.000000000000000,0.000000000000000,13.767952919006348,Flat
A80,ULAL,35.000000000000000, ,AA,Winged Elm,Ulmus alata,19238365-cea1-4166-ab56-c7a0e86af1e5,80,572.324942117999854,286.162471058999927,1050.216268786529781,13.6409016,0.000000000000000,0.000000000000000,13.640901565551758,Flat
A81,ILOP,12.400000000000000, ,AA,American Holly,Ilex opaca,1fff3c92-74c2-4fbe-a5eb-dfffc9d4cb0c,81,43.497314029039984,21.748657014519992,79.817571243288370,13.6409016,0.000000000000000,0.000000000000000,13.640901565551758,Flat
A82,ULAL,30.699999999999999, ,AA,Winged Elm,Ulmus alata,883e464d-f225-4650-a72a-0d4778ead255,82,413.292800857948635,206.646400428974317,758.392289574335678,13.6409016,0.000000000000000,0.000000000000000,13.640901565551758,Flat
A83,ILOP,10.199999999999999, ,AA,American Holly,Ilex opaca,e9a48615-bb8a-41a1-9937-734783f94b5e,83,26.779854399617896,13.389927199808948,49.141032823298836,13.6369267,0.000000000000000,0.000000000000000,13.636926651000977,Flat
A84,LIST,19.199999999999999, ,AA,Sweetgum,Liquidambar styraciflua,ba965371-12e7-45ae-882a-e2a0c546a14f,84,128.833346038995302,64.416673019497651,236.409189981556381,13.5931673,0.000000000000000,0.000000000000000,13.593167304992676,Flat
A85,ULAL,21.000000000000000, ,AA,Winged Elm,Ulmus alata,6564079b-4f58-42f3-88c1-c78bbf0130f3,85,160.946413485093359,80.473206742546679,295.336668745146312,13.5931673,0.000000000000000,0.000000000000000,13.593167304992676,Flat
A86,ULAL,23.399999999999999, ,AA,Winged Elm,Ulmus alata,1a094a34-8bc5-46af-bd20-5c08fd678fd4,86,210.570373157681502,105.285186578840751,386.396634744345533,13.5931673,0.000000000000000,0.000000000000000,13.593167304992676,Flat
A87,ULAL,12.000000000000000, ,AA,Winged Elm,Ulmus alata,1fd53095-5b09-4fa3-a782-b78240486d94,87,40.095562396040954,20.047781198020477,73.575356996735152,13.6443901,0.000000000000000,0.000000000000000,13.644390106201172,Flat
A88,ILOP,17.500000000000000,Split trunk 10cm + 7.5cm,AA,American Holly,Ilex opaca,8b0ba41b-dbd7-4211-adb8-551a5b469bfe,88,102.337470637918926,51.168735318959463,187.789258620581222,13.6443901,0.000000000000000,0.000000000000000,13.644390106201172,Flat
A89,ULAL,20.000000000000000, ,AA,Winged Elm,Ulmus alata,04d4ed29-1472-4187-959b-9bde88dcb791,89,142.579694263446555,71.289847131723278,261.633738973424443,13.6372881,0.000000000000000,0.000000000000000,13.637288093566895,Flat
A90,QUPH,72.000000000000000, ,AA,Willow Oak,Quercus phellos,10e3bd0d-8cd9-4a50-9a2f-8935838a89f4,90,4436.232090664996576,2218.116045332498288,8140.485886370268418,13.6372881,0.000000000000000,0.000000000000000,13.637288093566895,Flat
A91,ULAL,34.899999999999999, ,AA,Winged Elm,Ulmus alata,02a33134-24f0-4076-9347-0b3d42033571,91,568.272490419870451,284.136245209935225,1042.780019920462337,13.6184063,0.000000000000000,0.000000000000000,13.618406295776367,Flat
A92,ULAL,12.500000000000000, ,AA,Winged Elm,Ulmus alata,b1d44842-0728-4688-8346-849e7e407f4c,92,44.373706059129319,22.186853029564659,81.425750618502292,13.6184063,0.000000000000000,0.000000000000000,13.618406295776367,Flat
A93,ULAL,22.000000000000000, ,AA,Winged Elm,Ulmus alata,bf0686a3-2ea0-4cfc-a5a6-4bff43c9ec94,93,180.657673329832477,90.328836664916238,331.506830560242577,13.6372881,0.000000000000000,0.000000000000000,13.637288093566895,Flat
A94,LIST,12.000000000000000, ,AA,Sweetgum,Liquidambar styraciflua,be5de1cb-cf91-4469-8168-23f73582ebd9,94,40.095562396040954,20.047781198020477,73.575356996735152,13.6761389,0.000000000000000,0.000000000000000,13.676138877868652,Flat
A95,ILOP,12.600000000000000,Split 6.8 + 5.8,AA,American Holly,Ilex opaca,f1e80b0a-f7d9-46fd-a2e1-0e55455e8af9,95,45.260561103370186,22.630280551685093,83.053129624684289,13.6398983,0.000000000000000,0.000000000000000,13.639898300170898,Flat
A96,ACRU,14.000000000000000, ,AA,Red Maple,Acer rubrum,1f827899-d3d9-481a-ae5b-4f9550861140,96,75.893761722022475,37.946880861011238,139.265052759911242,13.6409016,0.000000000000000,0.000000000000000,13.640901565551758,Flat
A97,ILOP,14.600000000000000, ,AA,American Holly,Ilex opaca,f3ab7478-f39d-4085-9424-e6cf2184ef8d,97,65.255932823136845,32.627966411568423,119.744636730456108,13.7679529,0.000000000000000,0.000000000000000,13.767952919006348,Flat
A98,ILOP,18.000000000000000,Split 5 + 8 + 5cm,AA,American Holly,Ilex opaca,8618accd-4357-4bd7-b2ff-c4b8af7197a5,98,109.753644724105897,54.876822362052948,201.397938068734305,13.7679529,0.000000000000000,0.000000000000000,13.767952919006348,Flat
A99,LIST,38.200000000000003, ,AA,Sweetgum,Liquidambar styraciflua,c1349e99-f82b-45de-9f5f-88eb3056e82a,99,711.220140632821881,355.610070316410940,1305.088958061228141,13.7679529,0.000000000000000,0.000000000000000,13.767952919006348,Flat
A100,ULAL,33.899999999999999,Split 22.2 + 11.7cm,AA,Winged Elm,Ulmus alata,acc5893e-f627-48c2-ab51-724804f9c369,100,528.689439316223570,264.344719658111785,970.145121145270195,13.6409016,0.000000000000000,0.000000000000000,13.640901565551758,Flat
A101,ACRU,16.600000000000001,Split trunk 9.2 + 7.4 cm,AA,Red Maple,Acer rubrum,8b4e3de3-de0d-4011-9e0b-3be500950840,101,113.547166537071675,56.773583268535837,208.359050595526526,13.6409016,0.000000000000000,0.000000000000000,13.640901565551758,Flat
A102,ULAL,21.600000000000001, ,AA,Winged Elm,Ulmus alata,ab4b52ee-8327-44d2-a4d1-ab506cee25ca,102,172.609850284073786,86.304925142036893,316.739075271275397,13.6409016,0.000000000000000,0.000000000000000,13.640901565551758,Flat
A103,LIST,35.000000000000000, ,AA,Sweetgum,Liquidambar styraciflua,8d7e6a50-4fae-41ef-aeca-1cd287cce022,103,572.324942117999854,286.162471058999927,1050.216268786529781,13.6398983,0.000000000000000,0.000000000000000,13.639898300170898,Flat
A104,ILOP,17.699999999999999,Split trunk 11.2 + 6.5cm,AA,American Holly,Ilex opaca,1d7ad0ae-b2e5-4e83-a398-3f68358e43b4,104,105.266768695691610,52.633384347845805,193.164520556594113,13.6398983,0.000000000000000,0.000000000000000,13.639898300170898,Flat
A105,ULAL,11.400000000000000, ,AA,Winged Elm,Ulmus alata,46c8d917-212d-4f0f-8e34-6d70cbbe3de6,105,35.299851888491844,17.649925944245922,64.775228215382526,13.6761389,0.000000000000000,0.000000000000000,13.676138877868652,Flat
A106,QUPA,94.900000000000006,Tree has already been IDed but metal tag missing,AA,Cherrybark Oak,Quercus pagoda,b15e7d8a-67f5-44ec-972d-6ed68e286fdf,106,8688.742178351540133,4344.371089175770067,15943.841897275075098,13.6761389,0.000000000000000,0.000000000000000,13.676138877868652,Flat
A107,LIST,28.600000000000001,Split 16.8 + 11.8,AA,Sweetgum,Liquidambar styraciflua,2432e878-3980-4425-a336-9e05d823e971,107,346.604923986693450,173.302461993346725,636.020035515582435,13.6761389,0.000000000000000,0.000000000000000,13.676138877868652,Flat
A108,PITA,53.299999999999997, ,AA,Loblolly Pine,Pinus taeda,32184451-0d0a-4ba3-a10d-b7eefe73865a,108,1268.267877788172882,634.133938894086441,2327.271555741297107,13.6711550,0.000000000000000,0.000000000000000,13.671154975891113,Flat
A109,ULAL,18.199999999999999, ,AA,Winged Elm,Ulmus alata,4edf09b0-fcfc-49b7-b1d8-6d46439117ac,109,112.807240846405918,56.403620423202959,207.001286953154846,13.6736383,0.000000000000000,0.000000000000000,13.673638343811035,Flat
